country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
BR,FMI,Formiga,Formiga,MG,AA,--34----,,-20.45,-45.416666666666664
BR,FUO,Formigueiro,Formigueiro,RS,AA,--3-----,,-29.983333333333334,-53.5
BR,FMO,Formosa,Formosa,GO,AA,--34----,,-15.533333333333333,-47.333333333333336
BR,FSN,Formosa da Serra Negra,Formosa da Serra Negra,MA,AA,--3-----,,-6.433333333333334,-46.18333333333333
BR,FDO,Formosa do Oeste,Formosa do Oeste,PR,AA,--3-----,,-24.283333333333335,-53.3
BR,FRP,Formosa do Rio Preto,Formosa do Rio Preto,BA,AA,--34----,,-11.033333333333333,-45.18333333333333
BR,FSL,Formosa do Sul,Formosa do Sul,SC,AA,--3-----,,-26.633333333333333,-52.78333333333333
BR,FOM,Formoso,Formoso,GO,AA,--3-----,,-13.65,-48.88333333333333
BR,FOO,Formoso,Formoso,MG,AA,--3-----,,-14.95,-46.233333333333334
BR,FAG,Formoso do Araguaia,Formoso do Araguaia,TO,AA,--3-----,,-11.8,-49.516666666666666
BR,FNO,Forno Pt / Arraial do Cabo,Forno Pt / Arraial do Cabo,RJ,AA,1-------,,-22.966666666666665,-42.016666666666666
BR,FQA,Forquetinha,Forquetinha,RS,AA,--3-----,,-29.366666666666667,-52.083333333333336
BR,FOQ,Forquilha,Forquilha,CE,AA,--3-----,,-3.783333333333333,-40.25
BR,FOA,Forquilhinha,Forquilhinha,SC,AA,--34----,,-28.733333333333334,-49.46666666666667
BR,FOR,Fortaleza,Fortaleza,CE,AA,1234----,,-3.716666666666667,-38.583333333333336
BR,FMS,Fortaleza de Minas,Fortaleza de Minas,MG,AA,--3-----,,-20.833333333333332,-46.7
BR,FDN,Fortaleza dos Nogueiras,Fortaleza dos Nogueiras,MA,AA,--3-----,,-6.95,-46.18333333333333
BR,FVS,Fortaleza dos Valos,Fortaleza dos Valos,RS,AA,--3-----,,-28.783333333333335,-53.233333333333334
BR,FTM,Fortim,Fortim,CE,AA,--3-----,,-4.433333333333334,-37.78333333333333
BR,FUA,Fortuna,Fortuna,MA,AA,--3-----,,-5.733333333333333,-44.15
BR,FRM,Fortuna de Minas,Fortuna de Minas,MG,AA,--3-----,,-19.55,-44.43333333333333
BR,IGU,Foz do Igua�u,Foz do Iguacu,PR,AA,1-34-6--,,-25.533333333333335,-54.583333333333336
BR,FDJ,Foz do Jord�o,Foz do Jordao,PR,AA,--3-----,,-25.733333333333334,-52.11666666666667
BR,FRF,Frade FPSO,Frade FPSO,RJ,AA,------7-,,-21.883333333333333,-39.85
BR,FGO,Fraiburgo,Fraiburgo,SC,AA,--3-----,,-27.016666666666666,-50.916666666666664
BR,FRC,Franca,Franca,SP,AA,--34----,,-20.533333333333335,-47.4
BR,FRI,Francin�polis,Francinopolis,PI,AA,--3-----,,-6.383333333333334,-42.25
BR,FAE,Francisco Alves,Francisco Alves,PR,AA,--3-----,,-24.066666666666666,-53.833333333333336
BR,FAR,Francisco Ayres,Francisco Ayres,PI,AA,--3-----,,-6.616666666666667,-42.68333333333333
BR,FBR,Francisco Badar�,Francisco Badaro,MG,AA,--3-----,,-16.983333333333334,-42.333333333333336
BR,FBE,Francisco Beltr�o,Francisco Beltrao,PR,AA,--34----,,-26.066666666666666,-53.05
BR,FRD,Francisco Dantas,Francisco Dantas,RN,AA,--3-----,,-6.083333333333333,-38.11666666666667
BR,FDT,Francisco Dumont,Francisco Dumont,MG,AA,--3-----,,-17.316666666666666,-44.233333333333334
BR,FMD,Francisco Macedo,Francisco Macedo,PI,AA,--3-----,,-7.316666666666666,-40.78333333333333
BR,FTO,Francisco Morato,Francisco Morato,SP,AA,--3-----,,-23.266666666666666,-46.71666666666667
BR,FRS,Francisco S�,Francisco Sa,MG,AA,--3-----,,-16.466666666666665,-43.483333333333334
BR,FSS,Francisco Santos,Francisco Santos,PI,AA,--3-----,,-6.983333333333333,-41.13333333333333
BR,FCS,Francisc�polis,Franciscopolis,MG,AA,--3-----,,-17.95,-42
BR,FRO,Franco da Rocha,Franco da Rocha,SP,AA,--3-----,,-23.316666666666666,-46.71666666666667
BR,FEA,Frecheirinha,Frecheirinha,CE,AA,--3-----,,-3.75,-40.81666666666667
BR,FWP,Frederico Westphalen,Frederico Westphalen,RS,AA,--3-----,,-27.35,-53.4
BR,FGR,Frei Gaspar,Frei Gaspar,MG,AA,--3-----,,-18.066666666666666,-41.416666666666664
BR,FIO,Frei Inoc�ncio,Frei Inocencio,MG,AA,--3-----,,-18.55,-41.9
BR,FLR,Frei Lagonegro,Frei Lagonegro,MG,AA,--3-----,,-18.15,-42.75
BR,FMN,Frei Martinho,Frei Martinho,PB,AA,--3-----,,-6.4,-36.45
BR,FMH,Frei Miguelinho,Frei Miguelinho,PE,AA,--3-----,,-7.933333333333334,-35.916666666666664
BR,FPL,Frei Paulo,Frei Paulo,SE,AA,--3-----,,-10.533333333333333,-37.53333333333333
BR,FRR,Frei Rog�rio,Frei Rogerio,SC,AA,--3-----,,-27.166666666666668,-50.8
BR,FRA,Fronteira,Fronteira,MG,AA,--3-----,,-20.283333333333335,-49.2
BR,FDV,Fronteira dos Vales,Fronteira dos Vales,MG,AA,--3-----,,-16.883333333333333,-40.916666666666664
BR,FNS,Fronteiras,Fronteiras,PI,AA,--3-----,,-7.083333333333333,-40.61666666666667
BR,FDL,Fruta de Leite,Fruta de Leite,MG,AA,--3-----,,-16.1,-42.516666666666666
BR,FRU,Frutal,Frutal,MG,AA,--34----,,-20.016666666666666,-48.93333333333333
BR,FUG,Frutuoso Gomes,Frutuoso Gomes,RN,AA,--3-----,,-6.15,-37.833333333333336
BR,FDA,Fund�o,Fundao,ES,AA,--3-----,,-19.933333333333334,-40.4
BR,FUI,Funil�ndia,Funilandia,MG,AA,--3-----,,-19.366666666666667,-44.05
BR,GMI,Gabriel Monteiro,Gabriel Monteiro,SP,AA,--3-----,,-21.516666666666666,-50.55
BR,GBO,Gado Bravo,Gado Bravo,PB,AA,--3-----,,-7.566666666666666,-35.78333333333333
BR,GIG,Gale�o Apt / Rio de Janeiro,Galeao Apt / Rio de Janeiro,RJ,AA,---4----,,-22.8,-43.25
BR,GLA,G�lia,Galia,SP,AA,--3-----,,-22.283333333333335,-49.55
BR,GIE,Galil�ia,Galileia,MG,AA,--3-----,,-19,-41.53333333333333
BR,GNS,Galinhos,Galinhos,RN,AA,1-3-----,,-5.083333333333333,-36.266666666666666
BR,GLV,Galv�o,Galvao,SC,AA,--3-----,,-26.45,-52.666666666666664
BR,GLE,Gameleira,Gameleira,PE,AA,--3-----,,-8.583333333333334,-35.38333333333333
BR,GGI,Gameleira de Goi�s,Gameleira de Goias,GO,AA,--3-----,,-16.466666666666665,-48.63333333333333
